Statistical Region,UAIS 2011_ Region,PIRS UnitID,PIRS District ,PIRS Subcounty,PIRS Service outlet,PIRS Mechanism name,pirs Mechanism ID,PIRS US Agency,DATIM ID,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name,COP  Mechanism ID,COP US Agency,Type of Support,Period,Numerator (Overall TOTAL) ,Unknown age Female,"Female
<1yr","Female
1-4yrs","Female
5-9yrs","Female
10-14 yrs","Female
15-19 yrs","Female
20-24 yrs","Female
25-29 yrs","Female
30-34 yrs","Female
35-39 yrs","Female
40-44 yrs","Female
45-49 yrs","Female
 50-54 yrs","Female
 55-59 yrs","Female
 60-64 yrs","Female
 65+ yrs","Male
Unknown age ","Male
<1yr","Male
1-4yrs","Male
5-9yrs","Male
10-14 yrs","Male
15-19 yrs","Male
20-24 yrs","Male
25-29 yrs","Male
30-34 yrs","Male
35-39 yrs","Male
40-44 yrs","Male
45-49 yrs","Male
 50-54 yrs","Male
 55-59 yrs","Male
 60-64 yrs","Male
 65+ yrs","Sex Workers, Female",People in prisons and other enclosed settings (Incarcerated Population),PWID,MSM,Transgender,"<3 months of ARVs dispensed by Unknown Age, Female","<3 months of ARVs dispensed by Unknown Age, Male","<3 months of ARVs dispensed by <15yrs, Female","<3 months of ARVs dispensed by <15yrs, Male","<3 months of ARVs dispensed by 15+yrs, Female","<3 months of ARVs dispensed by 15+yrs, Male","3-5 months of ARVs dispensed to patient by Unknown Age, Female","3-5 months of ARVs dispensed to patient by Unknown Age, Male","3-5 months of ARVs dispensed to patient by <15yrs, Female","3-5 months of ARVs dispensed to patient by <15yrs, Male","3-5 months of ARVs dispensed to patient by 15+yrs, Female","3-5 months of ARVs dispensed to patient by 15+yrs, Male","4 or more months of ARVs dispensed to patient by Unknown Age, Female","5 or more months of ARVs dispensed to patient by Unknown Age, Male","6 or more months of ARVs dispensed to patient by <15yrs, Female","6 or more months of ARVs dispensed to patient by <15yrs, Male","6 or more months of ARVs dispensed to patient by 15+yrs, Female","6 or more months of ARVs dispensed to patient by 15+yrs, Male"
Central Region,Central 1,aPw8BIgtIDF,Mpigi District,Mpigi Town Council,Nsamu/Kyali Health Centre III,IDI Masaka Wakiso Region,87029,CDC,iTy2HiovQAQ,aPw8BIgtIDF,Mpigi District,Mpigi Town Council,Nsamu/Kyali Health Centre III,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,212,0,1,0,1,3,2,8,22,18,23,14,16,11,9,3,7,0,0,3,2,1,3,1,8,7,10,11,6,9,7,6,0,0,0,0,0,0,,,2,2,28,12,,,3,4,73,38,,,0,0,32,18
Central Region,Central 1,aFlGqyWRQfr,Wakiso District,Kyengera Town Council,Nsangi Health Centre III,IDI Masaka Wakiso Region,87029,CDC,v5hLOfeBBg8,aFlGqyWRQfr,Wakiso District,Kyengera Town Council,Nsangi Health Centre III,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,2869,0,1,10,8,17,30,139,399,493,433,240,160,75,47,20,23,0,0,10,13,19,12,13,61,134,148,134,110,50,34,15,21,0,0,0,0,0,,,14,8,151,22,,,22,34,1125,422,,,0,0,783,288
Central Region,Central 2,aysfx6SGoJe,Luwero District,Katikamu Subcounty,Nsawo Health Centre III,WALTER REED-MUWRP,160699,DOD,I7h9xn5VGCt,aysfx6SGoJe,Luwero District,Katikamu Subcounty,Nsawo Health Centre III,WALTER REED_MUWRP,160699,DOD,DSD,FY2025Q1,286,0,0,0,0,2,7,11,36,48,30,16,23,11,8,4,5,0,0,0,2,2,1,3,6,12,15,11,13,8,6,3,3,0,0,0,0,0,,,0,0,45,6,,,2,4,57,22,,,0,0,97,53
Northern Region,Mid Northern,Rk73DzPBfJl,Kazo District,Nkungu Subcounty,Nshunga Health Centre III,TASO Ankole Acholi,81998,USAID,dLyIUxIJesY,Rk73DzPBfJl,Kazo District,Nkungu Subcounty,Nshunga Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,36,0,0,0,1,0,2,6,4,1,3,0,0,0,2,3,0,0,0,0,0,0,0,1,1,1,4,1,1,2,1,1,1,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0
Northern Region,Mid Northern,RFWwEWMyoSD,Isingiro District,Ruyanga Subcounty,Nshungyezi Health Centre III,TASO Ankole Acholi,81998,USAID,KgeomJHEhrg,RFWwEWMyoSD,Isingiro District,Ruyanga Subcounty,Nshungyezi Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,1131,0,2,3,9,13,17,47,95,129,114,111,73,42,29,21,16,0,0,2,17,14,6,5,26,43,42,83,59,47,32,19,15,0,0,0,0,0,,,15,24,142,65,,,10,9,336,186,,,2,0,216,126
Northern Region,Mid Northern,Hil0AcAgjDy,Kiruhura District,Rushere Town Council,Nshwere Health Centre III,TASO Ankole Acholi,81998,USAID,KQTYLpkf9aJ,Hil0AcAgjDy,Kiruhura District,Rushere Town Council,Nshwere Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,103,0,0,0,0,0,4,11,15,9,11,5,3,3,1,1,2,0,0,0,0,0,1,0,7,7,5,4,7,3,1,1,2,0,0,0,0,0,,,0,0,8,6,,,0,0,38,26,,,0,0,18,7
Northern Region,Mid Northern,oFMf9UXgoOr,Buhweju District,Nsiika Town Council,Nsiika Health Centre IV,TASO Ankole Acholi,81998,USAID,RxQiy1EofEA,oFMf9UXgoOr,Buhweju District,Nsiika Town Council,Nsiika Health Centre IV,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,736,0,0,1,3,7,9,47,40,85,69,58,47,31,25,12,5,0,0,1,4,7,4,14,29,42,49,51,41,25,13,4,13,0,0,0,0,0,,,1,1,33,19,,,13,12,223,132,,,0,0,169,133
Eastern Region,East Central,aOt4qHwBUAV,Namutumba District,Nsinze Subcounty,Nsinze Health Centre IV,MJAP East Central,82000,USAID,QuzwTkyh0eQ,aOt4qHwBUAV,Namutumba District,Nsinze Subcounty,Nsinze Health Centre IV,MJAP_East Central Region,82000,USAID,DSD,FY2025Q1,645,0,0,0,4,4,6,19,37,51,57,58,47,58,34,14,23,0,0,3,5,12,6,2,5,8,20,32,42,36,21,27,14,0,0,0,0,0,,,3,6,44,23,,,5,12,201,110,,,0,2,159,80
Western Region,Mid Western,dGIRbXEYTuQ,Kikuube District,Kyangwali Subcounty,Nsozi Health Centre III,Baylor Hoima Region,81977,CDC,k569dodtIVI,dGIRbXEYTuQ,Kikuube District,Kyangwali Subcounty,Nsozi Health Centre III,Baylor_Hoima Region,81977,CDC,DSD,FY2025Q1,414,0,0,4,3,0,5,23,59,58,38,28,20,9,8,5,3,0,0,2,0,0,1,2,8,19,37,21,19,14,13,8,7,0,0,0,0,0,,,0,0,31,11,,,7,2,127,67,,,0,0,98,71
Central Region,Central 1,VXTxQRCiH2C,Mpigi District,Muduuma Subcounty,Nswanjere Health Centre III,UEC,81974,CDC,ndmAcohsUzd,VXTxQRCiH2C,Mpigi District,Muduuma Subcounty,Nswanjere Health Centre III,UEC,81974,CDC,DSD,FY2025Q1,311,0,1,3,2,1,6,9,31,45,39,24,16,16,8,2,1,0,0,2,2,1,1,2,4,15,16,14,27,9,5,5,4,0,0,0,0,0,,,6,3,102,33,,,1,2,24,21,,,0,0,71,48
Western Region,Mid Western,FtUWKxVeXby,Bundibugyo District,Ntandi Town Council,Ntandi Health Centre III,Baylor Fort Portal Mubende Region,87039,CDC,Dn7HXIomZUP,FtUWKxVeXby,Bundibugyo District,Ntandi Town Council,Ntandi Health Centre III,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,344,0,0,0,1,5,6,23,54,45,31,32,14,7,7,5,4,0,0,0,0,3,1,5,16,19,19,18,20,6,1,1,1,0,0,0,0,0,,,0,0,6,4,,,5,2,108,53,,,1,1,114,50
Western Region,Mid Western,w73evLideQA,Kitagwenda District,Ntara-Kichwamba Town Council,Ntara Health Centre IV,Baylor Fort Portal Mubende Region,87039,CDC,WSOyuPJcG6c,w73evLideQA,Kitagwenda District,Kitagwenda Town Council,Ntara Health Centre IV,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,1938,0,0,9,2,23,39,92,131,205,167,151,143,116,71,44,27,0,1,2,6,13,15,14,46,68,100,116,117,91,69,32,28,0,0,0,0,0,,,1,3,36,26,,,33,19,720,380,,,0,0,430,290
Western Region,South Western,z62IqCHW3MC,Kisoro District,Nyabwishenya Subcounty,Nteko Health Centre III,JCRC Kigezi Lango,81997,USAID,cH5uVJeVxgn,z62IqCHW3MC,Kisoro District,Nyabwishenya Subcounty,Nteko Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,70,0,0,0,0,4,2,7,7,10,5,8,2,0,2,0,1,0,0,0,0,1,1,0,4,1,6,3,3,1,1,0,1,0,0,0,0,0,,,0,0,1,0,,,4,1,4,1,,,0,0,39,20
Central Region,Central 2,xKKIcgLVH9x,Kayunga District,Kayunga Town Council,Ntenjeru Health Centre III,WALTER REED-MUWRP,160699,DOD,bUM5XdF4cmh,xKKIcgLVH9x,Kayunga District,Kayunga Town Council,Ntenjeru Health Centre III,WALTER REED_MUWRP,160699,DOD,DSD,FY2025Q1,399,0,0,0,2,4,3,24,50,50,67,31,20,21,14,7,5,0,0,1,3,3,1,2,5,14,9,19,17,12,7,6,2,0,0,0,0,0,,,2,2,44,13,,,4,4,146,42,,,0,1,102,39
Central Region,Central 2,Vdv0Ft4RZpP,Kayunga District,Kayunga Town Council,Ntenjeru Prisons Health Centre II,UPS Follow-on,84974,CDC,QBYnx1XQ3Eh,Vdv0Ft4RZpP,Kayunga District,Kayunga Town Council,Ntenjeru Prisons Health Centre II,UPS,84974,CDC,DSD,FY2025Q1,89,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,10,11,14,21,14,3,8,1,1,1,0,89,0,0,0,,,0,0,0,0,,,0,0,4,85,,,0,0,0,0
Central Region,Central 1,sbsaajvJPqH,Sembabule District,Nakasenyi Subcounty,Ntete Health Centre II,IDI Masaka Wakiso Region,87029,CDC,NPfKeICQjem,sbsaajvJPqH,Sembabule District,Nakasenyi Subcounty,Ntete Health Centre III,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,103,0,0,0,1,1,1,10,10,18,4,5,6,3,2,3,2,0,0,0,1,1,0,0,2,4,3,9,3,2,2,4,6,0,0,0,0,0,,,0,0,3,2,,,2,2,8,2,,,0,0,53,31
Western Region,Mid Western,acVWpFNPBT4,Masindi District,Bwijanga Subcounty,Ntooma Health Centre II,Baylor Hoima Region,81977,CDC,w0l7OPgr88f,acVWpFNPBT4,Masindi District,Bwijanga Subcounty,Ntooma Health Centre II,Baylor_Hoima Region,81977,CDC,DSD,FY2025Q1,128,0,0,0,2,1,1,7,14,18,11,13,13,7,3,1,2,0,0,0,1,2,0,0,2,3,3,9,5,4,3,2,1,0,0,0,0,0,,,0,0,7,0,,,3,2,44,17,,,0,1,39,15
Western Region,Mid Western,KPdYR8oFFSw,Ntoroko District,Kanara Town Council,Ntoroko Health Centre III,Baylor Fort Portal Mubende Region,87039,CDC,Kezt7XFcZ1h,KPdYR8oFFSw,Ntoroko District,Kanara Town Council,Ntoroko Health Centre III,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,436,0,0,2,3,4,8,16,34,54,45,37,33,22,11,5,3,0,0,1,3,2,1,2,14,22,34,29,21,15,7,6,2,0,0,0,0,0,,,1,1,9,6,,,8,5,110,59,,,0,0,149,88
Northern Region,Mid Northern,NImJbGuvUS6,Ntungamo District,Central Division,Ntungamo Health Centre IV,TASO Ankole Acholi,81998,USAID,UBI0QzPxMi9,NImJbGuvUS6,Ntungamo District,Central Division,Ntungamo Health Centre IV,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,1836,0,0,6,14,15,30,110,184,261,220,155,84,69,52,27,12,0,0,11,13,22,12,19,50,75,118,75,61,57,41,23,20,0,0,0,0,0,,,3,7,65,43,,,32,39,668,269,,,0,0,471,239
Western Region,South Western,qjHlE1v9LP6,Ntungamo District,Western Division,Ntungamo Prisons Health Centre II,UPS Follow-on,84974,CDC,eYmDtJGLLv2,qjHlE1v9LP6,Ntungamo District,Western Division,Ntungamo Prisons Health Centre II,UPS,84974,CDC,DSD,FY2025Q1,101,0,0,0,0,0,3,0,0,2,7,1,1,1,0,1,0,0,0,0,0,0,1,10,13,16,16,8,11,4,2,1,3,0,101,0,0,0,,,0,0,16,85,,,0,0,0,0,,,0,0,0,0
Northern Region,Mid Northern,ar4RR2FBfKU,Isingiro District,Ntungu Subcounty,Ntungu Health Centre II,TASO Ankole Acholi,81998,USAID,hFE8IvB8W7U,ar4RR2FBfKU,Isingiro District,Ntungu Subcounty,Ntungu Health Centre II,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,37,0,0,0,0,0,2,2,5,11,9,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,3,0,,,0,0,24,1,,,0,0,9,0
Central Region,Central 1,DWXYwCh0PuW,Sembabule District,Ntuusi Town Council,Ntuusi Health Centre III,UEC,81974,CDC,apODSAQvk2t,DWXYwCh0PuW,Sembabule District,Ntuusi Town Council,Ntuusi Health Centre III,UEC,81974,CDC,DSD,FY2025Q1,174,0,0,2,2,0,4,11,19,26,17,13,7,3,3,2,3,0,0,0,1,0,0,1,13,11,10,8,9,2,3,2,2,0,0,0,0,0,,,0,0,14,7,,,3,1,65,35,,,1,0,29,19
Central Region,Central 1,WuDi4LmzEWV,Sembabule District,Ntuusi Town Council,Ntuusi Health Centre IV,IDI Masaka Wakiso Region,87029,CDC,FUA5PQXjQXN,WuDi4LmzEWV,Sembabule District,Ntuusi Town Council,Ntuusi Health Centre IV,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,1042,0,0,1,3,11,12,42,93,134,94,80,38,47,29,12,19,0,0,3,10,9,10,8,19,49,67,69,61,47,43,17,15,0,0,0,0,0,,,4,5,112,57,,,11,17,285,213,,,0,0,203,135
Central Region,Central 2,QDSGcekPM4S,Kyankwanzi District,Ntwetwe Town Council,Ntwetwe Health Centre IV,Baylor Fort Portal Mubende Region,87039,CDC,uRncTOumtmK,QDSGcekPM4S,Kyankwanzi District,Ntwetwe Town Council,Ntwetwe Health Centre IV,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,2145,0,0,6,24,28,25,104,223,267,213,163,132,104,51,47,32,0,0,8,13,17,14,8,48,115,127,110,82,82,36,32,34,0,0,0,0,0,,,5,1,185,29,,,53,37,876,494,,,0,0,300,165
Central Region,Central 1,dQprl8P1Uae,Wakiso District,Nansana Division,Nurture Africa II Special Clinic,IDI Masaka Wakiso Region,87029,CDC,UGn6PakomrH,dQprl8P1Uae,Wakiso District,Nansana Division,Nurture Africa Clinic,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,2619,0,0,8,15,46,91,126,303,408,345,211,133,85,32,26,23,0,1,7,20,38,45,48,55,98,139,111,83,68,27,13,14,0,0,0,0,0,,,18,14,209,43,,,51,52,926,406,,,0,0,648,252
Western Region,Mid Western,aVLWD9zrowf,Kitagwenda District,Nyabbani Subcounty,Nyabbani Health Centre III,Baylor Fort Portal Mubende Region,87039,CDC,j1JzRm1pyI4,aVLWD9zrowf,Kitagwenda District,Nyabbani Subcounty,Nyabbani Health Centre III,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,597,0,1,7,4,12,13,39,72,61,43,46,27,25,13,8,9,0,0,0,5,4,4,7,22,37,30,28,31,19,16,11,3,0,0,0,0,0,,,5,0,33,6,,,15,7,167,91,,,4,2,156,111
Western Region,South Western,oJjQxwDB9EW,Kisoro District,Chahi Subcounty,Nyabihuniko Health Centre III,JCRC Kigezi Lango,81997,USAID,jVdQVNaKO8E,oJjQxwDB9EW,Kisoro District,Chahi Subcounty,Nyabihuniko Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,56,0,0,0,1,0,3,6,8,9,3,4,1,3,0,0,0,0,0,1,1,0,0,0,1,4,3,2,1,1,2,1,1,0,0,0,0,0,,,0,0,2,2,,,0,0,5,2,,,1,2,30,12
Western Region,Mid Western,fIF70rtNGDv,Kasese District,Kisinga Town Council,Nyabirongo Health Centre III,Baylor Fort Portal Mubende Region,87039,CDC,SpDrS6EvcL8,fIF70rtNGDv,Kasese District,Kisinga Town Council,Nyabirongo Health Centre III,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,205,0,0,0,0,1,0,14,29,26,21,25,7,12,1,3,0,0,0,1,1,1,1,3,4,15,8,8,10,6,4,3,1,0,0,0,0,0,,,0,1,12,3,,,1,2,30,12,,,0,0,96,48
Northern Region,Mid Northern,ci2uaeBv4Jg,Bushenyi District,Nyabubare Subcounty,Nyabubare Health Centre III,TASO Ankole Acholi,81998,USAID,FSNxhAcVzFj,ci2uaeBv4Jg,Bushenyi District,Nyabubare Subcounty,Nyabubare Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,324,0,0,1,0,6,4,16,34,38,39,21,12,11,7,7,3,0,0,2,2,7,0,2,8,13,30,20,12,16,5,5,3,0,0,0,0,0,,,1,1,8,6,,,6,10,76,52,,,0,0,108,56
Western Region,Mid Western,JbyNRdK814R,Kasese District,Mpondwe-Lhubiriha Town Council,Nyabugando Health Centre III,UPMB,84980,CDC,j2dkmDXj1vG,JbyNRdK814R,Kasese District,Mpondwe-Lhubiriha Town Council,Nyabugando Health Centre III,UPMB,84980,CDC,DSD,FY2025Q1,126,0,0,0,0,0,0,9,20,19,12,15,9,4,5,0,1,0,0,0,3,0,1,1,3,2,9,8,3,1,1,0,0,0,0,0,0,0,,,0,3,8,2,,,0,0,33,9,,,0,0,53,18
Western Region,South Western,gnahoaxeI4D,Ibanda District,Bufunda Division,Nyabuhikye Prisons Health Centre II,UPS Follow-on,84974,CDC,cYfqwP00ASm,gnahoaxeI4D,Ibanda District,Bufunda Division,Nyabuhikye Prisons Health Centre II,UPS,84974,CDC,DSD,FY2025Q1,77,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,19,22,14,9,1,1,0,1,0,0,77,0,0,0,,,0,0,4,73,,,0,0,0,0,,,0,0,0,0
Western Region,Mid Western,OwDder9Wkwn,Kabarole District,Mugusu Subcounty,Nyabuswa Health Centre III,Baylor Fort Portal Mubende Region,87039,CDC,MkcZNoHRYog,OwDder9Wkwn,Kabarole District,Mugusu Subcounty,Nyabuswa Health Centre III,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,166,0,0,1,2,2,1,14,19,18,19,14,8,3,3,2,4,0,0,0,0,0,0,1,2,7,12,10,15,0,5,4,0,0,0,0,0,0,,,4,0,18,2,,,1,0,28,19,,,0,0,59,35
Western Region,Mid Western,sSjaulsyygM,Masindi District,Budongo Subcounty,Nyabyeya Health Centre II,Baylor Hoima Region,81977,CDC,rSfS0Kb0mHJ,sSjaulsyygM,Masindi District,Budongo Subcounty,Nyabyeya Health Centre II,Baylor_Hoima Region,81977,CDC,DSD,FY2025Q1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0
Northern Region,West Nile,acTilIN9qRy,Maracha District,Nyadri South Subcounty,Nyadri Health Centre III,IDI West Nile,84981,CDC,znJJtIuwatQ,acTilIN9qRy,Maracha District,Nyadri South Subcounty,Nyadri Health Centre III,IDI_West Nile Region,84981,CDC,DSD,FY2025Q1,105,0,0,1,0,0,0,6,4,7,9,15,10,8,8,2,4,0,0,0,0,0,2,0,2,2,4,3,4,4,0,4,6,0,0,0,0,0,,,0,0,1,2,,,0,0,46,14,,,1,0,26,15
Western Region,Mid Western,Wtx8GzEga6v,Bundibugyo District,Nyahuka Town Council,Nyahuka Health Centre IV,Baylor Fort Portal Mubende Region,87039,CDC,Q6fKvroNfH2,Wtx8GzEga6v,Bundibugyo District,Nyahuka Town Council,Nyahuka Health Centre IV,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,1127,0,0,7,4,19,20,52,92,160,163,123,68,54,25,12,10,0,0,6,6,13,8,8,17,35,80,47,39,27,16,9,7,0,0,0,0,0,,,0,0,10,6,,,26,22,560,202,,,4,3,209,85
Western Region,Mid Western,rfk0AEPFYk5,Kiryandongo District,Bweyale Town Council,Nyakadoti Health Centre III,Baylor Hoima Region,81977,CDC,rqy55F2sPNv,rfk0AEPFYk5,Kiryandongo District,Bweyale Town Council,Nyakadoti Health Centre III,Baylor_Hoima Region,81977,CDC,DSD,FY2025Q1,637,0,1,6,3,1,7,63,115,104,65,46,18,18,9,4,4,0,0,3,11,6,3,5,15,35,30,24,16,14,4,4,3,0,0,0,0,0,,,1,2,81,17,,,10,18,284,96,,,0,0,88,40
Western Region,South Western,kLgmLxMJP9O,Rukungiri District,Nyakagyeme Subcounty,Nyakagyeme Health Centre III,JCRC Kigezi Lango,81997,USAID,ZD9dWVFM2MQ,kLgmLxMJP9O,Rukungiri District,Nyakagyeme Subcounty,Nyakagyeme Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,352,0,0,4,2,5,1,19,48,52,41,47,15,11,9,4,3,0,0,2,1,1,1,0,4,12,23,17,13,8,5,2,2,0,0,0,0,0,,,1,0,6,4,,,9,3,64,11,,,1,1,180,72
Western Region,Mid Western,aU6065dnndu,Kyenjojo District,Nyabuharwa Subcounty,Nyakarongo Health Centre III,Baylor Fort Portal Mubende Region,87039,CDC,edAoH5RQrXq,aU6065dnndu,Kyenjojo District,Nyabuharwa Subcounty,Nyakarongo Health Centre III,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,843,0,0,4,4,12,15,35,57,88,85,56,53,32,24,15,14,0,0,0,8,15,13,7,20,42,47,53,41,51,27,10,15,0,0,0,0,0,,,13,17,24,17,,,6,5,223,149,,,1,1,227,160
Northern Region,Mid Northern,SU8JOQnA0n1,Kiruhura District,Nyakashashara Subcounty,Nyakashashara Health Centre III,TASO Ankole Acholi,81998,USAID,djhAjc8Gpqm,SU8JOQnA0n1,Kiruhura District,Nyakashashara Subcounty,Nyakashashara Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,278,0,0,1,0,1,5,9,26,31,31,21,17,10,4,4,3,0,0,1,3,0,3,1,7,12,20,19,15,15,8,5,6,0,0,0,0,0,,,2,2,10,14,,,2,2,97,56,,,0,0,54,41
Western Region,South Western,UQKvb926FKp,Kanungu District,Nyamirama Town Council,Nyakashozi Health Centre II,UPMB LSD,81995,USAID,baPhPRMFhBn,UQKvb926FKp,Kanungu District,Nyamirama Town Council,Nyakashozi Health Centre III,UPMB_LSD,81995,USAID,DSD,FY2025Q1,18,0,0,0,0,0,1,3,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,3,0,0,0,0,0,0,0,0,,,0,0,0,2,,,0,0,6,4,,,0,0,4,2
Western Region,South Western,Nm3mxuGGRG1,Kanungu District,Kanungu Town Council,Nyakatare Health Centre III,UPMB LSD,81995,USAID,Kw68jFQiBNE,Nm3mxuGGRG1,Kanungu District,Kanungu Town Council,Nyakatare Health Centre III,UPMB_LSD,81995,USAID,DSD,FY2025Q1,408,0,0,0,3,3,5,19,43,59,58,47,16,29,,,,0,0,1,1,0,1,1,9,18,22,22,16,35,,,,0,0,0,0,0,,,3,1,38,5,,,1,1,53,26,,,2,0,183,93
Western Region,South Western,Dk1SkAipwsf,Mitooma District,Rutookye Town Council,Nyakatsiro Health Centre III,UPMB LSD,81995,USAID,SntoGeDEA0Y,Dk1SkAipwsf,Mitooma District,Rutookye Town Council,Nyakatsiro Health Centre III,UPMB_LSD,81995,USAID,DSD,FY2025Q1,234,0,0,0,0,1,1,11,34,29,30,14,9,5,3,3,2,0,0,1,0,0,0,3,12,16,20,10,11,6,6,5,2,0,0,0,0,0,,,0,0,19,5,,,1,1,18,14,,,0,0,104,72
Northern Region,Mid Northern,fvak0fciiOr,Mbarara City,Mbarara South Division,Nyakayojo Health Centre III,TASO Ankole Acholi,81998,USAID,UHnXrkGiSP3,fvak0fciiOr,Mbarara City,Mbarara South Division,Nyakayojo Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,459,0,0,0,5,8,9,26,54,58,41,33,25,17,7,3,0,0,0,4,0,2,4,7,6,27,33,29,26,15,11,4,5,0,0,0,0,0,,,0,1,7,10,,,12,4,152,74,,,1,1,114,83
Western Region,Mid Western,NIY73zF93pM,Kasese District,Bwera Subcounty,Nyakimasa Health Centre III,Baylor Fort Portal Mubende Region,87039,CDC,ELR7LVJ5WCR,NIY73zF93pM,Kasese District,Bwera Subcounty,Nyakimasa Health Centre III,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,20,0,0,0,1,0,1,2,4,0,0,2,1,0,0,0,1,0,0,0,0,0,0,2,2,0,0,1,1,0,1,1,0,0,0,0,0,0,,,0,0,0,0,,,1,0,8,5,,,0,0,3,3
Western Region,South Western,PncHhF14R0N,Kisoro District,Nyakinama Subcounty,Nyakinama Health Centre III,JCRC Kigezi Lango,81997,USAID,wHfacj3iU64,PncHhF14R0N,Kisoro District,Nyakinama Subcounty,Nyakinama Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,96,0,0,1,0,0,2,3,6,12,12,11,5,3,3,4,1,0,0,0,0,0,0,0,6,5,8,2,7,2,2,1,0,0,0,0,0,0,,,0,0,2,0,,,0,0,4,3,,,1,0,56,30
Western Region,South Western,UKwlyClQ3AR,Rukungiri District,Nyakishenyi Subcounty,Nyakishenyi Health Centre III,JCRC Kigezi Lango,81997,USAID,JemOs6u4GGc,UKwlyClQ3AR,Rukungiri District,Nyakishenyi Subcounty,Nyakishenyi Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,387,0,0,1,3,3,7,24,35,53,28,27,19,17,8,3,5,0,0,2,5,5,5,1,11,16,19,22,22,22,10,6,8,0,0,0,0,0,,,0,0,11,2,,,6,10,57,21,,,1,2,158,119
Western Region,Mid Western,aFXkqZXMomP,Masindi District,Karujubu Division,Nyakitbwa Health Centre III,Baylor Hoima Region,81977,CDC,MVI1oXtQFxW,aFXkqZXMomP,Masindi District,Karujubu Division,Nyakitbwa Health Centre III,Baylor_Hoima Region,81977,CDC,DSD,FY2025Q1,326,0,0,1,3,6,4,14,44,43,33,28,13,8,6,4,4,0,0,0,0,3,1,3,6,10,23,26,15,13,8,5,2,0,0,0,0,0,,,2,0,37,5,,,8,3,73,40,,,0,0,91,67
Northern Region,Mid Northern,iIx3m63SxVt,Isingiro District,Nyakitunda Subcounty,Nyakitunda Health Centre III,TASO Ankole Acholi,81998,USAID,Qwk7yOyyQId,iIx3m63SxVt,Isingiro District,Nyakitunda Subcounty,Nyakitunda Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,570,0,0,1,5,8,8,15,33,41,58,63,58,81,,,,0,0,0,5,3,5,1,4,25,33,40,29,54,,,,0,0,0,0,0,,,2,0,5,14,,,5,14,25,82,,,1,0,161,269
