PIRS District,PIRS Subcounty,subcounty_pop_adjusted
Amolatar District,Namasale Subcounty,20621.63
Amolatar District,Namasale Town Council,10585.31
Kwania District,Nambieso Subcounty,49734.58
Kitgum District,Namokora Subcounty,14592.01
Iganga District,Namungalwe Town Council,38292.31
Kassanda District,Myanzi Subcounty,44230.26
Kaliro District,Nawaikoke Town Council,22958.7
Kayunga District,Nazigo Town Council,44009.840000000004
Buyende District,Ndolwa Subcounty,4431.06
Nebbi District,Nebbi Subcounty,25349.33
Oyam District,Ngai Subcounty,29788.63
Napak District,Ngoleriet Subcounty,17850.93
Buikwe District,Njeru Central Division,70857.82
Mbale City,Northern Division,25562.54
Moroto District,Southern Division,21434.3
Buikwe District,Njeru Central Division,70857.82
Buikwe District,Njeru Central Division,70857.82
Buikwe District,Njeru Central Division,70857.82
Buikwe District,Njeru Central Division,70857.82
Wakiso District,Kajansi Town Council,191406.96
Buikwe District,Njeru Central Division,70857.82
Kamwenge District,Nkoma-Katalyeba Town Council,
Kassanda District,Nalutuntu Subcounty,52146.840000000004
Kamwenge District,Nkoma-Katalyeba Town Council,
Luwero District,Luweero Town Council,88310.14
Mbale City,Northern Division,25562.54
Kitagwenda District,Ntara-Kichwamba Town Council,
Kyankwanzi District,Ntunda Town Council,15517.98
Mbale City,Northern Division,25562.54
Isingiro District,Ntungu Subcounty,7005.03
Mbale City,Industrial Division,41606.85
Sembabule District,Ntuusi Town Council,24680.86
Sembabule District,Ntuusi Town Council,24680.86
Maracha District,Nyadri Subcounty,19763.64
Maracha District,Nyadri South Subcounty,
Buhweju District,Nyakashaka Town Council,2650.19
Bunyangabu District,Nyakigumba Town Council,2650.19
Kasese District,Nyakiyumbi Subcounty,
Kasese District,Nyakiyumbi Subcounty,
Abim District,Nyakwae Subcounty,15360.390000000001
Ntungamo District,Nyakyera Town Council,39571.57
Bugweri District,Namalemba Subcounty,23680.73
Kanungu District,Nyamirama Town Council,19378.420000000002
Kanungu District,Nyamirama Town Council,19378.420000000002
Ntungamo District,Nyamunuka Town Council,19378.420000000002
Masindi District,Nyantonzi Subcounty,
Masindi District,Nyantonzi Subcounty,
Zombo District,Nyapea Subcounty,21824.670000000002
Nebbi District,Nyaravur Town Council,21179.89
Kikuube District,Kyangwali Subcounty,98971.67
Nebbi District,Nyaravur Town Council,21179.89
Masaka City,Nyendo-Mukungwe Division,90716.22
Masaka City,Nyendo-Mukungwe Division,90716.22
Masaka City,Nyendo-Mukungwe Division,90716.22
Masaka City,Nyendo-Mukungwe Division,90716.22
Kazo District,Nkungu Subcounty,25740.73
Rukungiri District,Eastern Division,14238.720000000001
Wakiso District,Kajansi Town Council,191406.96
Kazo District,Nkungu Subcounty,25740.73
Masaka City,Nyendo-Mukungwe Division,90716.22
Masaka City,Nyendo-Mukungwe Division,90716.22
Kikuube District,Kyangwali Subcounty,98971.67
Masaka City,Nyendo-Mukungwe Division,90716.22
Masaka City,Nyendo-Mukungwe Division,90716.22
Kapelebyong District,Obalanga Town Council,18504.98
Maracha District,Obiba Subcounty,
Obongi District,Obongi Town Council,
Kitagwenda District,Nyabbani Subcounty,22611.59
Soroti District,Oculoi Subcounty,
Omoro District,Odek Subcounty,32364.66
Yumbe District,Odravu Subcounty,43522.65
Yumbe District,Odravu West Subcounty,
Yumbe District,Odravu West Subcounty,
Yumbe District,Odravu West Subcounty,
Madi-Okollo District,Offaka Subcounty,19740.98
Adjumani District,Ofua Subcounty,14447.81
Pader District,Ogom Subcounty,8807.53
Otuke District,Ogor Subcounty,14819.640000000001
Lira District,Ogur Subcounty,37015.11
Otuke District,Ogwette Subcounty,15755.91
Maracha District,Okokora Town Council,
Madi-Okollo District,Okollo Subcounty,18366.96
Madi-Okollo District,Okollo Town Council,
Otuke District,Okwang Town Council,
Otuke District,Okwongo Town Council,
Rwampara District,Bugamba Subcounty,35776.020000000004
Maracha District,Oleba Town Council,33078.450000000004
Otuke District,Olilim Town Council,14013.15
Maracha District,Oluffe Subcounty,24277.100000000002
Kitgum District,Omiya Anyima Subcounty,21715.49
Alebtong District,Omoro Subcounty,44525.87
Omoro District,Omoro Town Council,
Agago District,Omot Subcounty,13800.970000000001
Terego District,Omugo Subcounty,44885.340000000004
Omoro District,Ongako Subcounty,23864.07
Amuru District,Opara Subcounty,
Abim District,Opopongo Subcounty,4418.7
Koboko District,Oraba Town Council,
Kitgum District,Orom Subcounty,
Amuria District,Orungo Town Council,1722.16
Abim District,Orwamuge Town Council,3104.42
Moyo District,Otce Subcounty,
Moyo District,Otce Subcounty,
Kalaki District,Otuboi Town Council,26731.59
Otuke District,Otuke Town Council,6399.39
Oyam District,Otwal Subcounty,26903.600000000002
Oyam District,Otwal Subcounty,26903.600000000002
Maracha District,Ovujo Town Council,
Gulu District,Owalo Subcounty,
Gulu District,Owo Subcounty,
Oyam District,Oyam Town Council,12078.81
Oyam District,Oyam Town Council,12078.81
Amuru District,Pabo Town Council,
Amuru District,Pabo Town Council,
Adjumani District,Pacara Subcounty,17685.100000000002
Pader District,Pader Subcounty,9778.82
Pader District,Pader Subcounty,9778.82
Pader District,Pader Town Council,13783.460000000001
Lamwo District,Padibe Town Council,13783.460000000001
Lamwo District,Padibe Town Council,13783.460000000001
Lamwo District,Padibe West Subcounty,12791.57
Nebbi District,Padwot Subcounty,
Kitgum District,Pager Division,16002.08
Kitgum District,Pager Division,16002.08
Gulu District,Paicho Subcounty,25222.64
Zombo District,Paidha Town Council,32580.96
Agago District,Paimol Subcounty,21649.57
Pader District,Pajule Town Council,23394.39
Adjumani District,Pakele Subcounty,45152.11
Adjumani District,Pakele Subcounty,45152.11
Adjumani District,Pakele Subcounty,45152.11
Adjumani District,Pakele Town Council,5799.93
Pakwach District,Pakwach Subcounty,21532.15
Pakwach District,Pakwach Town Council,23731.2
Pakwach District,Pakwach Town Council,23731.2
Lamwo District,Palabek Gem Subcounty,15530.34
Lamwo District,Palabek Kal Subcounty,14880.41
Lamwo District,Palabek Ogili Subcounty,9775.73
Lamwo District,Palabek Ogili Subcounty,9775.73
Lamwo District,Palabek Ogili Subcounty,9775.73
Lamwo District,Palabek Ogili Subcounty,9775.73
Gulu District,Palaro Subcounty,13961.65
Lamwo District,Paloga Subcounty,9413.17
Obongi District,Palorinya Subcounty,2168.15
Nwoya District,Paminyai Subcounty,
Kitgum District,Pandwong Division,19284.69
Kitgum District,Pandwong Division,19284.69
Pakwach District,Panyamur Town Council,
Kotido District,Panyangara Subcounty,18340.18
Pakwach District,Panyango Subcounty,29168.57
Maracha District,Paranga Subcounty,
Nebbi District,Parombo Town Council,
Gulu District,Patiko Subcounty,18902.56
Agago District,Patongo Town Council,11873.84
Madi-Okollo District,Pawor Subcounty,10075.460000000001
Butebo District,Petete Town Council,
Pakwach District,Pokwero Subcounty,
Pader District,Puranga Subcounty,19484.510000000002
Pader District,Puranga Town Council,
Nwoya District,Purongo Town Council,
Kotido District,Rengen Subcounty,32761.21
Madi-Okollo District,Rhino Camp Town Council,24518.12
Madi-Okollo District,Rigbo Subcounty,26723.350000000002
Madi-Okollo District,Rigbo Subcounty,26723.350000000002
Madi-Okollo District,Rigbo Subcounty,26723.350000000002
Yumbe District,Romogi Subcounty,46980.36
Yumbe District,Romogi Subcounty,46980.36
Yumbe District,Romogi Subcounty,46980.36
Yumbe District,Romogi Subcounty,46980.36
Buhweju District,Rubengye Subcounty,4891.47
Mbarara District,Rubindi-Ruhumba Town Council,24575.8
Mbarara District,Rubindi-Ruhumba Town Council,24575.8
Mbarara District,Rubindi-Ruhumba Town Council,24575.8
Rubirizi District,Rubirizi Town Council,8450.12
Rubirizi District,Rubirizi Town Council,8450.12
Isingiro District,Rugaaga Town Council,34005.450000000004
Kyenjojo District,Rugombe Town Council,
Ntungamo District,Ruhaama East Subcounty,
Isingiro District,Ruhiira Town Council,7054.47
Rukiga District,Rukiga Town Council,15936.16
Rukiga District,Rukiga Town Council,15936.16
Kamwenge District,Rukunyu Town Council,4719.46
Moroto District,Rupa Subcounty,25865.36
Kiruhura District,Rushere Town Council,4391.92
Kiruhura District,Rushere Town Council,4391.92
Kanungu District,Rutenga Town Council,4391.92
Mitooma District,Rutookye Town Council,
Isingiro District,Ruyanga Subcounty,
Rwampara District,Rweibogo - Kibingo Town Council,
Ibanda District,Rwenkobwa Town Council,3096.1800000000003
Kiruhura District,Rwenshande Subcounty,
Mitooma District,Rwoburunga Subcounty,4001.55
Kabale District,Ryakarimira Town Council,
Mukono District,Seetanamuganga Subcounty,
Rukungiri District,Eastern Division,14238.720000000001
Rukungiri District,Eastern Division,14238.720000000001
Kaabong District,Sidok Subcounty,13357.04
Kapchorwa District,Sipi Town Council,4835.85
Soroti City,Soroti East Division,19322.8
Soroti City,Soroti East Division,19322.8
Soroti City,Soroti East Division,19322.8
Soroti City,Soroti East Division,19322.8
Soroti City,Soroti East Division,19322.8
Soroti City,Soroti East Division,19322.8
Soroti City,Soroti West Division,12162.24
Soroti City,Soroti West Division,12162.24
Kazo District,Rwemikoma Subcounty,24203.97
Soroti City,Soroti West Division,12162.24
Soroti City,Soroti West Division,12162.24
Kikuube District,Kyangwali Subcounty,98971.67
Soroti City,Soroti West Division,12162.24
Kotido District,South Division,
Bunyangabu District,Rwiimi Town Council,16702.48
Bunyangabu District,Rwiimi Town Council,16702.48
Mityana District,Sskanyonyi Town Council,
Mbale City,Industrial Division,41606.85
Kikuube District,Kabwoya Subcounty,68834.90000000001
Bukwo District,Suam Town Council,11058.08
Sembabule District,Sembabule Town Council,13703.12
Gomba District,Taba-Bbinzi Subcounty,
Moroto District,Tapac Subcounty,15904.23
Moroto District,Tapac Subcounty,15904.23
Moroto District,Tapac Subcounty,15904.23
Maracha District,Tara Subcounty,17459.53
Apac District,Te-Boke Subcounty,
Sembabule District,Sembabule Town Council,13703.12
Kibuku District,Tirinyi Town Council,32373.93
Nakapiripirit District,Tokora Subcounty,
Soroti District,Tubur Town Council,22632.190000000002
Mbale City,Industrial Division,41606.85
Terego District,Udupi Subcounty,
Terego District,Udupi Subcounty,
Kapelebyong District,Kapelebyong Subcounty,19787.33
Terego District,Udupi Subcounty,
Terego District,Udupi Subcounty,
Terego District,Udupi Subcounty,
Adjumani District,Ukusijoni Subcounty,11656.51
Adjumani District,Ukusijoni Subcounty,11656.51
Madi-Okollo District,Uleppi Subcounty,9061.94
Madi-Okollo District,Uleppi Subcounty,9061.94
Gulu District,Unyama Subcounty,17648.02
Terego District,Uriama Subcounty,24123.63
Terego District,Uriama Subcounty,24123.63
Arua District,Vurra Subcounty,45935.94
Arua District,Vurra Subcounty,45935.94
Arua District,Vurra Subcounty,45935.94
Kayunga District,Wabwoko-Kitimbwa Subcounty,5118.07
Kakumiro District,Kakindo Town Council,10243.35
Pakwach District,Wadelai Subcounty,24870.38
Zombo District,Warr Subcounty,19391.81
Zombo District,Warr Town Council,19391.81
Amuria District,Wera Town Council,19391.81
Kotido District,West Division,
Agago District,Wol Subcounty,23986.64
Maracha District,Yivu Subcounty,26029.13
Yumbe District,Yumbe Town Council,35850.18
Zombo District,Zeu Subcounty,36414.62
Mityana District,Zigoti Town Council,7641.570000000001
Zombo District,Zombo Town Council,12453.73
,,
,,
Mbale City,Northern Division,25562.54
,,
Rukungiri District,Eastern Division,14238.720000000001
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Kikuube District,Kiziranfumbi Subcounty,36239.520000000004
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
