,,,,,,,,,,,,,,,,,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,PP_PREV,PP_PREV,PP_PREV,PP_PREV,PP_PREV,PP_PREV,PP_PREV,PP_PREV2,PP_PREV3,PP_PREV4,PP_PREV5,PP_PREV6,PP_PREV7,PP_PREV8,PP_PREV9,PP_PREV10,PP_PREV11,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary
Tooro,Kasese District,Lubiriha Town Council,Nyabugando HC III,JbyNRdK814R,,j2dkmDXj1vG,AlQNduGoWWo,Mpondwe-Lhubiriha Town Council,JbyNRdK814R,Kasese District,Mpondwe-Lhubiriha Town Council,Nyabugando HC III,UPMB,84980,CDC,FY2024Q4,114,1,,,12,3,13,2,28,2,25,,11,,11,,4,,2,,,114,,,,20,,32,1,1,60,29,,,20,,13,19,1,1,31,29,0,0,20,0,13,19,1,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,114,,114,,,114,0,0,0,0,0,0,TRUE
Tooro,Bundibugyo District,Nyahuka Town Council,Nyahuka HC IV,Wtx8GzEga6v,,Q6fKvroNfH2,Vi7aqqAWPqY,Nyahuka Town Council,Wtx8GzEga6v,Bundibugyo District,Nyahuka Town Council,Nyahuka HC IV,Baylor Fort Portal_Mubende Region,87039,CDC,FY2024Q4,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,0,,,1,1,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,,,0,0,0,1,1,1,1,TRUE
Bunyoro,Kiryandongo District,Bweyale Town Council,Nyakadoti HC II,rfk0AEPFYk5,,rqy55F2sPNv,hePnUWez0zH,Bweyale Town Council,rfk0AEPFYk5,Kiryandongo District,Bweyale Town Council,Nyakadoti HC III,Baylor_Hoima Region,81977,CDC,FY2024Q4,715,,,38,8,182,7,1,190,1,132,,86,,26,,21,1,22,,19,699,,,,692,,7,,,16,14,,2,692,,5,2,,,,8,0,2,683,0,4,2,0,0,0,4,0,0,5,0,1,0,0,0,0,4,0,0,5,0,1,0,0,0,0,2,0,0,9,0,2,0,0,0,0,3,0,0,6,0,0,0,0,0,0,2,0,0,6,0,1,0,0,0,0,2,0,0,5,0,1,0,0,0,0,715,718,19,699,,,699,10,10,13,9,9,8,TRUE
Tooro,Kyenjojo District,Nyabuharwa Subcounty,Nyakarongo HC II,aU6065dnndu,,edAoH5RQrXq,jtnq9LQ0jW9,Nyabuharwa Subcounty,aU6065dnndu,Kyenjojo District,Nyabuharwa Subcounty,Nyakarongo HC II,Baylor Fort Portal_Mubende Region,87039,CDC,FY2024Q4,81,,,3,2,15,3,1,24,1,18,,7,,3,,2,,2,,4,77,,,,76,1,0,,,4,4,,,76,1,,,,,,3,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,81,4,77,,,77,0,0,4,0,0,0,TRUE
Kigezi,Kanungu District,Kanungu Town Council,Nyakatare HC III,Nm3mxuGGRG1,,Kw68jFQiBNE,psMokZ0J0Dn,Kanungu Town Council,Nm3mxuGGRG1,Kanungu District,Kanungu Town Council,Nyakatare HC III,UPMB_LSD,81995,USAID,FY2024Q4,19,,,1,3,3,,1,2,4,2,,,,1,1,,,1,,2,18,,,,8,,0,,,10,2,,8,8,,,,,,,2,0,8,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,19,20,2,18,,,17,1,1,1,2,2,2,FALSE
Ankole,Mbarara City,Nyamitanga Division,Nyamitanga Govt HC III,uoOrITIaKEJ,,fy3dBETnKp2,MO5TbPDDhiB,Nyamitanga Division,uoOrITIaKEJ,Mbarara City,Mbarara South Division,Nyamitanga Govt HC III,TASO_Ankole Acholi Region,81998,USAID,FY2024Q4,73,,,2,17,18,2,1,21,,4,,4,,1,,3,,,,5,162,,,,146,,0,,,22,18,,,146,,,,,,4,15,0,0,143,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,73,167,5,162,,,162,0,0,3,3,3,3,FALSE
Ankole,Mbarara City,Kakoba Division,Nyamityobora HC II,J7hNSRvyUFC,,ePp4bdNQB5m,KZ2vT9g5YbY,Kakoba Division,J7hNSRvyUFC,Mbarara City,Mbarara South Division,Nyamityobora HC II,TASO_Ankole Acholi Region,81998,USAID,FY2024Q4,344,8,,9,141,29,56,33,21,13,12,4,8,1,2,1,4,,2,,5,344,,1,,92,,0,,,258,160,,6,92,,,,,,92,156,0,6,90,0,0,0,0,0,91,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,344,350,5,344,,1,343,3,3,2,2,2,2,FALSE
Tooro,Kyenjojo District,Mabiira Town Council,Nyankwanzi HC III,OXa6YSwJxEd,,lEzHFUAO5Ct,xpaW1KxWgXy,Nyankwazi Subcounty,OXa6YSwJxEd,Kyenjojo District,Mabira Town Council,Nyankwanzi HC III,Baylor Fort Portal_Mubende Region,87039,CDC,FY2024Q4,129,,,1,31,13,44,1,12,,14,,7,,5,1,,,,,6,123,,,,36,,8,,,85,74,,11,36,,5,3,,,,74,0,11,35,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,129,129,6,123,,,123,1,1,6,0,3,1,TRUE
West Nile,Zombo District,Nyapea Subcounty,Nyapea Hospital,H5hAGwZHpUb,,L8z3GJRkOK6,Y0XvApg6Cxl,Nyapea Subcounty,H5hAGwZHpUb,Zombo District,Nyapea Subcounty,Nyapea Hospital,UEC,81974,CDC,FY2024Q4,75,,,1,2,5,,2,14,4,13,2,12,2,9,3,4,,2,,1,74,,2,,5,,2,,,68,,,14,5,,2,,,,54,0,0,14,5,0,2,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,77,1,74,,2,74,0,0,1,1,0,0,TRUE
West Nile,Nebbi District,Nyaravur Subcounty,Nyaravur HC III,g4MQbbN4oR6,,wPfLYTGnhrI,VhhycykuTeI,Nyaravur Subcounty,g4MQbbN4oR6,Nebbi District,Nyaravur Town Council,Nyaravur HC III,IDI_West Nile Region,84981,CDC,FY2024Q4,442,,,9,88,17,91,13,23,11,19,10,41,6,26,9,28,24,27,,,401,,96,,1,,133,3,,305,179,,96,1,,115,18,3,,30,192,0,94,1,0,123,18,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,497,,401,,96,449,0,0,0,0,0,0,TRUE
South Central,Masaka City,Nyendo-Senyange Division,Nyendo HC II,thfQt8hcpAP,,JfPbdftYpZh,RILVSBz1D8A,Nyendo-Senyange Division,thfQt8hcpAP,Masaka City,Nyendo-Mukungwe Division,Nyendo HC II,IDI_Masaka Wakiso Region,87029,CDC,FY2024Q4,386,,,22,42,87,8,8,82,2,66,2,25,1,13,1,13,2,12,,4,383,,,,290,2,8,,9,77,40,,17,290,2,2,6,,9,20,42,0,17,301,2,2,6,0,9,21,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,386,387,4,383,,,400,4,4,7,4,4,4,TRUE
North Central,Luwero District,Nyimbwa Subcounty,Nyimbwa HC IV,aKyrbNsmNnT,,ayeLxWlIh4R,aSta6JbXBgl,Nyimbwa Subcounty,aKyrbNsmNnT,Luwero District,Nyimbwa Subcounty,Nyimbwa HC IV,WALTER REED_MUWRP,160699,DOD,FY2024Q4,160,,,2,73,8,27,2,10,,14,,8,,7,1,3,1,4,,10,151,,,,41,1,12,,,106,100,,4,41,1,5,7,,,2,100,0,4,39,0,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,1,1,1,0,0,0,160,161,10,151,,,151,1,1,0,4,5,5,TRUE
Lango,Lira City,Ojwina Division,Ober HC III,hdrTrRDuwOU,,b0sYzQYviWR,cBKgjcsBS8E,Ojwina Division,hdrTrRDuwOU,Lira City,Lira West Division,Ober HC IV,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,391,1,,15,57,58,29,38,72,15,41,6,25,5,16,,9,3,1,,29,362,,45,,120,3,38,8,59,163,11,,12,120,3,18,20,8,59,140,11,0,12,116,3,18,20,8,51,122,0,0,0,2,0,0,2,1,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,3,0,0,2,1,5,7,0,0,0,2,0,0,0,0,4,7,0,0,0,2,0,0,0,0,4,7,0,0,0,2,0,0,0,0,4,7,391,436,29,362,,45,361,5,5,18,13,13,13,TRUE
West Nile,Obongi District,Obongi Town Council,Obongi HC IV,nrLW9kL9BT2,,hr4UsXH1vvK,jiLffoLyJmd,Obongi Town Council,nrLW9kL9BT2,Obongi District,Obongi Town Council,Obongi HC IV,IDI_West Nile Region,84981,CDC,FY2024Q4,369,,,28,10,63,1,18,61,15,43,17,32,11,25,3,16,5,21,,,369,,1,,11,,20,306,,33,,,9,11,,6,14,306,,24,0,0,9,11,0,6,13,307,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,370,,369,,1,370,0,0,0,0,0,0,FALSE
Teso,Kaberamaido District,Ochero Subcounty,Ochero HC III,rPMkkecqjqx,,GeYIdYj4uIx,PTKdMXBq8fq,Ochero Subcounty,rPMkkecqjqx,Kaberamaido District,Ochero Subcounty,Ochero HC III,AIC_Soroti Region,87041,CDC,FY2024Q4,210,,,4,17,15,8,16,23,16,24,11,29,8,8,9,6,6,10,,17,191,,3,,5,,9,171,,25,3,,21,5,,,9,171,,1,3,0,21,4,0,0,4,158,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,1,0,11,5,11,0,0,0,0,0,1,0,0,5,11,0,0,0,0,0,0,0,0,4,9,0,0,210,211,17,191,,3,191,2,2,10,28,17,13,TRUE
Lango,Lira District,Ogur Subcounty,Ogur HC IV,aRxadClWcFM,,IRmw7fgKWZv,q7esQgLv262,Ogur Subcounty,aRxadClWcFM,Lira District,Ogur Subcounty,Ogur HC IV,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,187,,,18,8,33,1,5,33,5,26,5,27,3,9,4,7,1,2,,12,169,,38,,42,2,77,,35,34,8,,3,42,2,77,,,35,23,5,0,2,40,2,70,0,0,33,17,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,2,0,0,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,2,187,219,12,169,,38,169,4,4,6,3,4,4,FALSE
West Nile,Adjumani District,Pakele Subcounty,Olia Prison HC II,J1bAaHJwcR6,,yaIfDlOft07,Dc1mjxUxHT4,Pakele Town Council,J1bAaHJwcR6,Adjumani District,Pakele Subcounty,Olia Prison HC II,UPS,84974,CDC,FY2024Q4,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,0,,,0,,,,,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,,,,0,0,0,0,1,1,1,TRUE
Bugisu,Kween District,Moyok Subcounty,Onigo Prison HC II,l3tNefJ6Uo8,,Iqu2ODYfxnd,t44VCCHARGA,Moyo Subcounty,l3tNefJ6Uo8,Kween District,Moyok Subcounty,Onigo Prison HC II,UPS,84974,CDC,FY2024Q4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,TRUE
Lango,Otuke District,Otuke Town Council,Orum HC IV,FtmVm4r1H3a,,OPtWYcxTztw,bSlXDWyJBg8,Otuke Town Council,FtmVm4r1H3a,Otuke District,Otuke Town Council,Orum HC IV,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,3,,,,,2,,,,1,,,,,,,,,,,,3,,1,,,,0,,,2,1,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,,3,,1,2,0,0,0,0,0,0,FALSE
Teso,Kalaki District,Otuboi Subcounty,Otuboi HC III,qidhLTyAErV,,yugeat7fhNx,u8Xfjyii6JJ,Otuboi Subcounty,qidhLTyAErV,Kalaki District,Otuboi Town Council,Otuboi HC III,AIC_Soroti Region,87041,CDC,FY2024Q4,41,,,4,4,13,1,1,10,,3,,2,,3,,,,,,1,40,,,,41,,0,,,0,,,,41,,,,,,,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,1,40,,,43,0,0,0,0,0,0,TRUE
Lango,Oyam District,Otwal Subcounty,Otwal HC III,taeUtmBHKTF,,kwaaGafvjuV,z0c3tuVrL9A,Otwal Subcounty,taeUtmBHKTF,Oyam District,Otwal Subcounty,Otwal HC III,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,347,,1,2,58,19,16,49,65,38,34,7,13,8,10,4,14,2,7,,59,306,,,,89,4,37,,35,184,,,4,89,4,36,1,,35,180,0,0,1,70,3,35,1,0,25,171,0,0,0,13,1,2,0,0,0,16,0,0,0,13,1,2,0,0,0,16,0,0,3,27,2,3,0,0,9,20,0,0,2,18,1,0,0,0,9,9,0,0,2,18,1,1,0,0,9,9,0,0,2,18,1,1,0,0,9,9,347,365,59,306,,,306,32,32,64,39,40,40,FALSE
Acholi,Amuru District,Pabbo Town Council,Pabbo (Govt) HC III,rYNfPnt4Wko,,lXanB4B6S3u,cCzR99Wz1M5,Pabo Town Council,rYNfPnt4Wko,Amuru District,Pabo Town Council,Pabbo (Govt) HC III,TASO_Ankole Acholi Region,81998,USAID,FY2024Q4,99,,,5,8,17,6,5,15,4,15,3,9,2,4,1,3,1,1,,1,146,,,,16,11,6,1,6,106,17,,32,16,11,4,2,1,6,57,17,0,32,16,11,4,2,1,6,57,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,147,1,146,,,146,1,1,0,0,0,0,FALSE
Acholi,Pader District,Pader Town Council,Pader HC III,EsyH7yKQHiP,,TmKC6Qez1z1,sZxinVh5hG0,Pader Town Council,EsyH7yKQHiP,Pader District,Pader Town Council,Pader HC III,TASO_Ankole Acholi Region,81998,USAID,FY2024Q4,131,1,,9,9,23,9,4,38,4,11,,6,3,4,3,3,,4,,,132,,1,,34,30,6,,,62,16,,21,34,30,6,,,,25,16,0,21,34,30,6,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,133,,132,,1,132,0,0,0,0,0,0,FALSE
Tooro,Kamwenge District,Kamwenge Town Council,Padre Pio HC III,XuummkDfiEK,,QEv7j8zHtl8,pc2FTkOgXD2,Kamwenge Town council,XuummkDfiEK,Kamwenge District,Kamwenge Town Council,Padre Pio HC III,UEC,81974,CDC,FY2024Q4,90,,,1,2,4,,2,9,18,26,3,8,4,9,,3,,1,,,90,,,,5,3,52,,,30,,,22,5,3,2,50,,,8,0,0,22,5,3,2,50,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,,90,,,90,0,0,0,0,0,0,TRUE
Lango,Lira City,Central Division (Lira MC),Pag Mission Hospital,BTQIO9sgvpP,,MbkI983B6fv,ADsRBbUMWoh,Central Division (Lira MC),BTQIO9sgvpP,Lira City,Lira East Division,Pag Mission Hospital,UPMB_LSD,81995,USAID,FY2024Q4,18,1,,2,1,1,,1,3,,5,,,,1,,2,,1,,,18,,,,13,,0,,3,2,,,2,13,,,,,3,,0,0,2,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,,18,,,21,0,0,0,0,0,0,TRUE
West Nile,Zombo District,Paidha Town Council,Paidha HC III,P1F2OCX6d3t,,RQUNPK2Na5k,TQQg09fTUqQ,Paidha Town Council,P1F2OCX6d3t,Zombo District,Paidha Town Council,Paidha HC III,IDI_West Nile Region,84981,CDC,FY2024Q4,"1,687",1,1,205,56,379,96,41,279,29,226,20,140,8,95,7,37,5,62,,1,1649,,173,,1124,32,93,2,67,369,86,,126,1124,32,49,44,2,67,157,75,0,126,1118,32,50,44,2,67,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"1,687","1,823",1,"1,649",,173,"1,668",0,0,1,1,1,1,TRUE
Acholi,Pader District,Pajule Town Council,Pajule HC IV,NiSWW2k1Hqt,,w6ZdGYe7TYI,ObMiYBBBl2t,Pajule Town Council,NiSWW2k1Hqt,Pader District,Pajule Town Council,Pajule HC IV,TASO_Ankole Acholi Region,81998,USAID,FY2024Q4,165,,,17,8,30,3,11,20,13,15,7,15,3,8,2,4,1,8,,,154,,91,,2,,2,,,161,2,,51,2,,2,,,,108,1,0,42,2,0,1,0,0,0,107,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,245,,154,,91,153,3,1,1,0,0,0,TRUE
West Nile,Pakwach District,Pakwach Town Council,Pakwach HC IV,R11qcaG5pbk,,uoPMoNsLZfS,QhMSmfn4CWy,Pakwach Town council,R11qcaG5pbk,Pakwach District,Pakwach Town Council,Pakwach HC IV,IDI_West Nile Region,84981,CDC,FY2024Q4,"2,873",,,134,181,289,144,179,456,97,425,56,314,48,314,24,131,11,70,,13,2590,,97,,263,41,573,1609,,350,203,,25,263,41,7,566,1609,,122,197,0,29,237,41,8,507,1588,0,120,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,8,0,1,1,0,1,0,0,7,0,7,0,1,1,0,1,0,0,0,0,7,0,1,1,0,1,0,0,0,0,7,0,1,"2,873","2,700",13,"2,590",,97,"2,727",2,2,11,17,10,10,FALSE
West Nile,Pakwach District,Pakwach Town Council,Pakwach Mission HC III,a1DNpYv02JK,,Fxfs6HysZOX,QhMSmfn4CWy,Pakwach Town council,a1DNpYv02JK,Pakwach District,Pakwach Town Council,Pakwach Mission HC III,UEC,81974,CDC,FY2024Q4,46,,,,3,1,1,5,6,5,4,4,2,1,6,1,2,3,2,,,46,,,,,,1,27,,18,,,18,,,,1,27,,,0,0,18,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,,46,,,46,0,0,0,0,0,0,TRUE
Acholi,Lamwo District,Palabek Ogili Subcounty,Palabek Ogili HC III,lmi2JiLawTV,,vy0CiISNpMC,u7xNUSXmxqq,Palabek Ogili Subcounty,lmi2JiLawTV,Lamwo District,Palabek Ogili Subcounty,Palabek Ogili HC III,TASO_Ankole Acholi Region,81998,USAID,FY2024Q4,598,,,32,39,102,37,38,144,18,69,9,33,12,26,4,10,4,21,,,616,,,3,83,126,70,,8,326,31,3,5,83,126,46,24,,8,290,31,3,5,83,126,46,24,0,8,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,616,,616,,,616,0,0,0,0,0,0,FALSE
Bunyoro,Kiryandongo District,Bweyale Town Council,Panyadoli HC III,a3qKoIZXK3t,,PCkQKnLDg7k,hePnUWez0zH,Bweyale Town Council,a3qKoIZXK3t,Kiryandongo District,Bweyale Town Council,Panyadoli HC IV,Baylor_Hoima Region,81977,CDC,FY2024Q4,220,1,,6,29,38,10,4,41,2,30,1,23,1,18,1,11,1,3,,60,161,,2,,152,2,11,,,54,33,,9,152,2,11,,,,12,8,0,6,142,0,8,1,0,0,2,5,0,0,3,0,2,0,0,0,0,5,0,0,3,0,2,0,0,0,0,20,0,3,10,0,4,0,0,0,8,16,0,4,7,2,0,0,0,0,7,16,0,4,6,2,1,0,0,0,5,15,0,4,6,2,1,0,0,0,5,220,223,60,161,,2,167,10,10,45,36,34,33,FALSE
West Nile,Pakwach District,Panyimur Subcounty,Panyimur HC III,YcMgrtcbVpk,,fbUSxUZa4On,kf4B3zBkZwG,Panyimur Subcounty,YcMgrtcbVpk,Pakwach District,Panyamur Town Council,Panyimur HC III,IDI_West Nile Region,84981,CDC,FY2024Q4,431,,,37,58,51,56,29,62,16,35,9,30,8,12,4,5,8,11,,3,430,,,,,2,44,255,,125,80,,30,,2,43,1,255,,15,80,0,30,6,3,43,2,279,0,15,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,433,3,430,,,458,3,3,2,0,0,0,FALSE
West Nile,Nebbi District,Parombo Town Council,Parombo HC III,xYbII9uvF5o,,KpC4I2oPAkJ,hYjpNrrLjqg,Parombo Town Council,xYbII9uvF5o,Nebbi District,Parombo Town Council,Parombo HC III,IDI_West Nile Region,84981,CDC,FY2024Q4,373,,,11,111,13,60,29,25,29,21,14,13,8,12,4,7,3,13,,20,353,,14,1,1,9,43,77,,242,159,1,56,1,9,20,23,77,,27,158,1,42,1,8,20,19,76,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,14,0,1,1,4,1,0,0,0,0,14,0,1,0,4,1,0,0,0,0,13,0,1,0,4,1,0,0,373,387,20,353,,14,352,0,0,2,21,20,19,TRUE
Acholi,Agago District,Patongo Town Council,Patongo HC III,oUcwyNtRzrb,,yqMIrpBNXnq,iDBbol32oZP,Patongo Town Council,oUcwyNtRzrb,Agago District,Patongo Town Council,Patongo HC IV,TASO_Ankole Acholi Region,81998,USAID,FY2024Q4,187,,,3,46,18,22,4,22,7,19,9,17,3,6,,3,3,5,,,189,,,,70,,2,,2,115,63,,46,70,,2,,,2,6,63,0,48,71,0,2,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,189,,189,,,192,0,0,1,0,1,0,FALSE
