Statistical Region,KP Tracker ID,KP Tracker District ,KP Tracker Subcounty,KP Tracker Service outlet,KP Tracker Mechanism name,KP Tracker US Agency,DATIM ID,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name ,IM ID,Agency,Period,Comment,IP Comment for action to be taken,PREP _CT Overall Total,PrEP_CT  Total Female,PrEP_CT  Total Male,"(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male",Total,Positive Total,Negative Total,Other,"(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male","(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male","(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male",Total KP received PrEP_CT,"MSM, Male",Sub-total Transgender,"Sex Workers, Female",PWID,People in prisons and other enclosed settings (Incarcerated Population),Pregnant,Breast feeding,Health Facility,Community,Oral,Injectable,Other including Ring,Ring,EDV PREP,Adolescents and young women (10-24) years,Clients of sex workers,"Displaced persons (e.g., refugees) ",Fishing communities ,"Military and other uniformed services (including police, border guards, and security workers),Female ","Mobile Populations (e.g., migrant workers, truck drivers) ",Truck drivers,Non-injecting drug users,Discordant Couples,Other
Bukedi,Txul6e5mI5M,Tororo District,Mukuju Subcounty,Mukuju HC IV,Baylor_Eastern Region,,JPQzLIWSdZw,Txul6e5mI5M,Tororo District,Mukuju Subcounty,Mukuju HC IV,Baylor_Eastern Region,82001,USAID,Oct-Dec 2024,,,563,247,316,22,16,82,71,55,84,42,57,18,33,16,26,7,11,5,18,563,0,313,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,32,43,26,57,19,38,11,20,8,20,4,8,1,10,14,8,50,28,29,27,23,19,7,13,8,6,3,3,4,8,254,58,0,195,1,0,0,0,1,565,561,0,0,0,0,25,160,0,1,19,13,63,5,24,1
North Central,TYC4xgc3ieF,Buikwe District,Ssi-Bukunja Subcounty,Ssi HC III,WALTER REED_MUWRP,,JBGXmWukhy9,TYC4xgc3ieF,Buikwe District,Ssi-Bukunja Subcounty,Ssi HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,87,52,35,7,3,26,15,10,12,5,2,2,3,1,,,,1,,87,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,26,15,10,12,5,2,2,3,1,0,0,0,1,0,52,0,0,52,0,0,0,0,0,92,87,0,0,0,0,0,8,0,30,0,0,0,0,1,0
South Central,u0ZXCHvbs0W,Sembabule District,Kawanda Subcounty,Kyabi HC III,IDI_Masaka Wakiso Region,,zdrb13Md264,u0ZXCHvbs0W,Sembabule District,Kawanda Subcounty,Kyabi HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,103,47,56,5,6,9,9,9,10,8,9,3,3,5,7,4,5,4,7,103,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,9,9,9,10,8,9,3,3,5,7,4,5,4,7,33,0,0,33,0,0,0,1,49,64,102,0,0,0,51,1,34,0,0,0,9,0,0,33,1
Busoga,u5jXNGfi96o,Mayuge District,Magamaga Town Council,Wabulungu HC III,MJAP_East Central Region,,IjDUTe2FS7o,u5jXNGfi96o,Mayuge District,Magamaga Town Council,Wabulungu HC III,MJAP_East Central Region,82000,USAID,Oct-Dec 2024,,,26,13,13,2,1,7,5,3,2,1,4,,1,,,,,,,26,0,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,2,2,1,1,2,0,1,0,0,0,0,0,0,0,1,0,3,1,1,0,2,0,0,0,0,0,0,0,0,65,0,0,65,0,0,0,0,0,159,26,0,0,0,0,2,15,0,0,0,32,7,4,0,0
Kampala,U6DZjzffCuQ,Kampala District,Mulago National Referral Hospital,Mulago NRH - MARPI STI Project Clinic,ROM_Kampala Region,,BQK9syjDN88,U6DZjzffCuQ,Kampala District,Mulago National Referral Hospital,Mulago NRH - MARPI STI Project Clinic,ROM_Kampala Region,87040,CDC,Oct-Dec 2024,,,2447,1226,1221,209,71,450,366,304,388,148,202,81,117,24,49,8,21,2,7,2447,0,358,2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,13,59,48,49,48,19,37,15,18,5,13,1,4,0,2,182,58,391,318,255,340,129,165,66,99,19,36,7,17,2,5,7814,2194,83,5328,209,0,0,0,74,7850,2419,0,0,0,371,33,6,0,4,2,3,6,37,7,8
Bunyoro,u9ESrcugDMJ,Masindi District,Kimengo Subcounty,Kimengo HC III,Baylor_Hoima Region,,xXvlKIKrv5z,u9ESrcugDMJ,Masindi District,Kimengo Subcounty,Kimengo HC III,Baylor_Hoima Region,81977,CDC,Oct-Dec 2024,,,10,7,3,1,,3,,2,2,,,,1,1,,,,,,10,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,1,1,0,0,0,0,0,5,0,0,5,0,0,0,0,0,10,10,0,0,0,0,1,0,0,0,0,3,1,0,0,0
North Central,udyIvAUWRfi,Kiboga District,Kyomya Subcounty,Kyanamuyonjo HC III,Baylor Fort Portal_Mubende Region,,F0fDXyO3GMm,udyIvAUWRfi,Kiboga District,Kyomya Subcounty,Kyanamuyonjo HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,74,36,38,7,,9,9,7,11,6,7,4,4,2,3,1,4,,,74,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,9,7,11,6,7,4,4,2,3,1,4,0,0,13,0,0,13,0,0,4,0,76,1,75,0,0,0,0,2,22,0,0,0,35,0,0,0,1
Busoga,UhQMDsDfW85,Kamuli District,Kitayunjwa Subcounty,Kitayunjwa HC III,MJAP_East Central Region,,rzgFZ6GAAmP,UhQMDsDfW85,Kamuli District,Kitayunjwa Subcounty,Kitayunjwa HC III,MJAP_East Central Region,82000,USAID,Oct-Dec 2024,,,10,8,2,2,1,1,,3,,,,1,,,,,,1,1,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,3,0,0,0,1,0,0,0,0,0,1,1,9,0,0,9,0,0,0,0,0,16,10,0,0,0,0,1,0,0,0,0,5,0,0,0,1
Lango,UIhutvdIhqU,Kole District,Aboke Subcounty,Aboke HC IV,JCRC_Kigezi Lango Region,,qdfauyzsicr,UIhutvdIhqU,Kole District,Aboke Subcounty,Aboke HC IV,JCRC_Kigezi Lango Region,81997,USAID,Oct-Dec 2024,,,683,381,302,42,20,89,55,94,65,52,44,52,34,33,39,14,28,5,17,683,0,6,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,42,20,87,53,94,65,52,43,52,34,33,38,14,28,5,17,58,0,0,58,0,0,36,8,536,158,683,0,0,0,1,10,9,0,143,0,11,27,78,20,287
Ankole,Uo8eU7Qrx0v,Ntungamo District,Ruhaama Subcounty,Ruhama HC III,TASO_Ankole Acholi Region,,w4QXj723PyO,Uo8eU7Qrx0v,Ntungamo District,Ruhaama Subcounty,Ruhama HC III,TASO_Ankole Acholi Region,81998,USAID,Oct-Dec 2024,,,91,67,24,28,2,17,10,14,5,6,4,,1,1,1,,1,1,,91,0,43,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,5,5,2,3,2,0,0,1,0,0,1,1,0,15,2,7,5,9,3,3,2,0,1,0,1,0,0,0,0,73,0,0,73,0,0,0,1,32,85,92,0,0,0,0,0,28,0,0,0,0,0,0,8,0
Ankole,uoOrITIaKEJ,Mbarara City,Mbarara South Division,Nyamitanga Govt HC III,TASO_Ankole Acholi Region,,fy3dBETnKp2,uoOrITIaKEJ,Mbarara City,Mbarara South Division,Nyamitanga Govt HC III,TASO_Ankole Acholi Region,81998,USAID,Oct-Dec 2024,,,119,80,39,19,1,40,15,16,15,2,6,3,1,,,,,,1,119,0,12,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,3,1,1,0,1,0,0,0,0,0,0,0,0,15,1,38,12,15,14,2,5,3,1,0,0,0,0,0,1,66,0,0,66,0,0,0,0,5,117,106,0,0,0,0,11,40,0,0,0,0,0,0,3,2
North Central,UPSV6y2j0B0,Mukono District,Koome island Subcounty,Damba HC II,WALTER REED_MUWRP,,SBwtIP9cq8q,UPSV6y2j0B0,Mukono District,Koome island Subcounty,Damba HC II,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,40,23,17,2,2,8,6,3,3,7,1,2,,,3,1,1,,1,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,6,3,3,7,1,2,0,0,3,1,1,0,1,77,0,0,77,0,0,0,0,37,68,40,0,0,0,0,0,4,0,23,0,0,0,0,0,0
South Central,UTcf3vkubN9,Wakiso District,Wakiso Town Council,Wakiso HC IV,IDI_Masaka Wakiso Region,,uW5I2XshYqr,UTcf3vkubN9,Wakiso District,Wakiso Town Council,Wakiso HC IV,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,831,418,413,51,32,129,111,121,136,58,46,30,57,19,20,6,8,4,3,831,0,7,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,1,0,0,0,0,0,51,32,129,111,121,134,57,46,29,55,18,20,6,8,4,3,573,135,19,419,0,0,1,1,140,746,832,0,0,0,8,17,255,0,0,0,0,1,0,7,6
Bunyoro,uXgyniUkd0D,Kakumiro District,Nalweyo Town Council,Nalweyo HC III,Baylor_Hoima Region,,cfa8VK58DQo,uXgyniUkd0D,Kakumiro District,Nalweyo Town Council,Nalweyo HC III,Baylor_Hoima Region,81977,CDC,Oct-Dec 2024,,,48,39,9,5,,14,,12,5,4,2,3,1,1,1,,,,,48,0,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,0,12,5,4,2,3,1,1,1,0,0,0,0,38,0,0,38,0,0,0,0,46,3,45,0,0,0,0,2,7,0,0,0,0,0,0,0,0
Bugisu,V2x1UIpO46L,Mbale City,Industrial Division,Malukhu HC III,Baylor_Eastern Region,,EIC80fijSVX,V2x1UIpO46L,Mbale City,Industrial Division,Malukhu HC III,Baylor_Eastern Region,82001,USAID,Oct-Dec 2024,,,66,28,38,1,1,4,13,10,12,5,9,4,3,3,,1,,,,66,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,13,10,12,5,9,4,3,3,0,1,0,0,0,93,18,22,43,10,0,3,2,64,92,66,0,0,0,37,14,3,0,0,4,0,1,5,2,13
Bunyoro,V2ylFCAVj0U,Hoima City,Hoima East Division,Hoima Regional Referral Hospital,MoH_G2G_RRH Strategy,,uyQJUJMwZ65,V2ylFCAVj0U,Hoima City,Hoima East Division,Hoima Regional Referral Hospital,MoH_G2G_RRH Strategy,87032,CDC,Oct-Dec 2024,,,532,336,196,71,23,132,59,73,45,39,38,13,13,3,12,3,5,2,1,532,0,55,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,5,8,12,4,4,2,1,1,0,0,0,0,0,63,23,122,54,65,33,35,34,11,12,2,12,3,5,2,1,533,58,16,458,1,0,0,0,4,687,530,0,0,0,1,1,113,0,3,2,11,5,0,6,15
Tooro,V3oWlkpBLx1,Kasese District,Lakekatwe Subcounty,Kasenyi HC II,Baylor Fort Portal_Mubende Region,,JyDCLvkOoa5,V3oWlkpBLx1,Kasese District,Lakekatwe Subcounty,Kasenyi HC II,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,89,61,28,17,1,29,5,8,9,3,7,2,2,1,1,,2,1,1,89,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,29,5,8,9,3,7,2,2,1,1,0,2,1,1,27,0,0,27,0,0,1,1,0,93,89,0,0,0,1,3,2,0,59,0,0,0,0,0,0
Acholi,v6eIpzse4SO,Kitgum District,Pandwong Division,New Life HC III,UPMB_LSD,,Jc7DIal36lk,v6eIpzse4SO,Kitgum District,Pandwong Division,New Life Health Centre III,UPMB_LSD,81995,USAID,Oct-Dec 2024,,,2,1,1,,,,1,,,,,1,,,,,,,,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bunyoro,v7vSvHb7QUU,Kagadi District,Kyanaisoke Subcounty,Isunga HC III,Baylor_Hoima Region,,gig9MRSL4oe,v7vSvHb7QUU,Kagadi District,Kyanaisoke Subcounty,Isunga HC III,Baylor_Hoima Region,81977,CDC,Oct-Dec 2024,,,27,25,2,6,1,16,,3,1,,,,,,,,,,,27,0,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,0,3,1,0,0,0,0,0,0,0,0,0,0,29,0,0,29,0,0,0,0,9,27,29,0,0,0,0,0,2,0,0,0,0,0,0,0,0
North Central,va7uRTbKCoJ,Luwero District,Wobulenzi Town Council,Bukalasa HC III,WALTER REED_MUWRP,,cpwxIqMilOP,va7uRTbKCoJ,Luwero District,Wobulenzi Town Council,Bukalasa HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,38,28,10,1,,6,3,10,2,4,2,3,2,3,1,1,,,,38,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,10,2,4,2,3,2,3,1,1,0,0,0,23,0,1,22,0,0,0,3,38,1,37,0,0,0,0,1,8,0,0,0,1,0,0,2,0
Bunyoro,Vcm6CgzPxe3,Kagadi District,Mpeefu Subcounty,Mpeefu B HC III,Baylor_Hoima Region,,WVdfdA3IPwo,Vcm6CgzPxe3,Kagadi District,Mpeefu Subcounty,Mpeefu B HC III,Baylor_Hoima Region,81977,CDC,Oct-Dec 2024,,,67,25,42,4,2,10,7,5,7,2,9,3,9,1,2,,3,,3,67,0,3,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,2,10,7,5,5,1,9,3,9,1,2,0,3,0,3,23,0,0,23,0,0,0,0,0,72,66,0,0,0,0,3,11,0,32,1,0,0,0,2,0
North Central,VdaCJASzDIR,Nakaseke District,Ngoma Town Council,Ngoma HC IV,Baylor Fort Portal_Mubende Region,,Hscxh7Oec3j,VdaCJASzDIR,Nakaseke District,Ngoma Town Council,Ngoma HC IV,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,121,77,44,21,4,34,17,12,10,4,6,5,7,1,,,,,,121,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,34,17,12,10,4,6,5,7,1,0,0,0,0,0,67,0,0,67,0,0,0,1,5,142,119,0,0,0,3,3,71,0,0,0,0,0,0,1,2
North Central,vDmdUfmWS3J,Buvuma District,Nairambi Subcounty,Lukale HC II,WALTER REED_MUWRP,,p6DOKN5qyzM,vDmdUfmWS3J,Buvuma District,Nairambi Subcounty,Lukale HC II,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,1,0,1,,,,,,,,1,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,16,0,0,0,0,430,14,1,0,0,0,0,0,7,0,421,0,0,0,0,0,0
Teso,Vdrd1FtUOrc,Katakwi District,Toroma Subcounty,Toroma HC IV,AIC_Soroti Region,,zR2Up23OOBo,Vdrd1FtUOrc,Katakwi District,Toroma Subcounty,Toroma HC IV,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,103,30,73,,1,5,18,8,14,7,8,4,6,2,10,3,2,1,14,103,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,18,8,14,7,8,4,6,2,10,3,2,1,14,11,0,0,11,0,0,0,0,0,104,103,0,0,0,0,1,29,0,54,3,0,0,0,6,0
Kigezi,VES7ks4zElA,Kanungu District,Buhoma Town Council,Bwindi Community Hospital,UPMB_LSD,,HmNrv4Fc2Mq,VES7ks4zElA,Kanungu District,Buhoma Town Council,Bwindi Community Hospital,UPMB_LSD,81995,USAID,Oct-Dec 2024,,,579,303,276,46,13,83,57,39,65,37,47,39,33,29,20,19,19,11,22,579,0,20,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,6,0,2,0,2,0,1,0,0,0,1,44,13,82,52,39,59,37,45,39,31,29,19,19,19,11,21,87,1,0,86,0,0,1,0,30,563,574,0,0,0,1,5,204,0,0,27,11,0,1,46,15
Bunyoro,vgRXnM3VETo,Kibaale District,Kyebando Subcounty,Kyebando HC III,Baylor_Hoima Region,,wY74p9ivLWm,vgRXnM3VETo,Kibaale District,Kyebando Subcounty,Kyebando HC III,Baylor_Hoima Region,81977,CDC,Oct-Dec 2024,,,47,38,9,4,,19,4,11,2,4,1,,,,,,2,,,47,0,20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,1,3,0,0,1,0,0,0,0,0,2,0,0,1,0,9,3,8,2,4,0,0,0,0,0,0,0,0,0,37,0,0,37,0,0,0,0,0,48,46,0,0,0,0,2,9,0,0,0,0,0,0,0,0
North Central,vh8cOiWZOv9,Kassanda District,Kassanda Town Council,ST. Gabriel Mirembe Maria HC III,UEC,,fWQXaPwRFGT,vh8cOiWZOv9,Kassanda District,Kassanda Town Council,ST. Gabriel Mirembe Maria HC III,UEC,81974,CDC,Oct-Dec 2024,,,282,123,159,26,25,39,37,39,25,12,35,2,19,3,11,1,5,1,2,282,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,39,37,39,25,12,35,2,19,3,11,1,5,1,2,136,0,0,136,0,0,0,0,289,0,280,0,0,0,0,0,97,0,0,0,40,2,0,6,0
Bunyoro,vHdz34TAaT3,Hoima District,Kyabigambire Subcounty,Mparangasi HC III,Baylor_Hoima Region,,RJsaBZvZbEQ,vHdz34TAaT3,Hoima District,Kyabigambire Subcounty,Mparangasi HC III,Baylor_Hoima Region,81977,CDC,Oct-Dec 2024,,,9,5,4,1,1,1,1,,2,,,1,,1,,,,1,,9,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,1,0,1,0,0,0,1,0,3,0,0,3,0,0,0,0,3,20,9,0,0,0,0,4,10,0,1,0,0,1,0,2,0
Tooro,VhofFpidxI7,Kabarole District,Hakibaale Town Council,Kijura HC III,Baylor Fort Portal_Mubende Region,,YFLQMQlPT2U,VhofFpidxI7,Kabarole District,Hakibaale Town Council,Kijura HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,215,121,94,13,6,32,17,38,32,20,18,12,14,6,5,,,,2,215,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,32,17,38,32,20,18,12,14,6,5,0,0,0,2,142,21,0,113,8,0,0,0,0,224,214,0,0,0,62,14,51,0,0,1,10,0,0,0,0
South Central,VhOO7DL9Y39,Lwengo District,Kyazanga Town Council,Kyazanga HC IV,IDI_Masaka Wakiso Region,,Ur7ZdrxsDuG,VhOO7DL9Y39,Lwengo District,Kyazanga Town Council,Kyazanga HC IV,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,212,143,69,36,7,40,19,25,8,13,12,13,8,10,9,2,,4,6,212,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7,40,19,25,8,13,12,13,8,10,9,2,0,4,6,130,0,0,130,0,0,2,1,96,137,212,0,0,0,12,9,45,0,0,0,16,2,0,7,3
South Central,Vi3ibjRtMzU,Mpigi District,Buwama Town Council,Buwama HC III,IDI_Masaka Wakiso Region,,Faz1Wonrz3Q,Vi3ibjRtMzU,Mpigi District,Buwama Town Council,Buwama HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,174,129,45,15,,29,13,31,10,18,10,19,3,9,1,5,3,3,5,174,0,23,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,2,1,4,0,2,0,3,0,1,2,15,0,27,12,27,9,16,9,15,3,7,1,2,3,2,3,134,0,0,134,0,0,4,3,33,245,174,0,0,0,11,20,29,1,8,0,18,0,0,43,4
Kigezi,vJ60kObyiWo,Kisoro District,Southern Division,Kisoro Prison HC II,UPS,,S4MgyDilBvj,vJ60kObyiWo,Kisoro District,Southern Division,Kisoro Prisons Health Centre II,,,,Oct-Dec 2024,Site has outputs but not on DAPOTS list,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,102,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tooro,VkNdAzkYGjh,Bundibugyo District,Bundibugyo Town Council,Bundibugyo Hospital,Baylor Fort Portal_Mubende Region,,ze0kMPwQ0L2,VkNdAzkYGjh,Bundibugyo District,Bundibugyo Town Council,Bundibugyo Hospital,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,76,54,22,7,2,24,4,15,7,4,5,3,1,,2,,1,1,,76,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,24,4,15,7,4,5,3,1,0,2,0,1,1,0,25,0,0,25,0,0,0,0,2,76,75,0,0,0,0,27,0,0,0,0,2,0,0,3,0
South Central,vkpREtlXQxQ,Mpigi District,Kayabwe Town Council,Nkozi Hospital,UEC,,xhdlKHtgzGB,vkpREtlXQxQ,Mpigi District,Kayabwe Town Council,Nkozi Hospital,UEC,81974,CDC,Oct-Dec 2024,,,4,1,3,,,,1,,,,,,1,,1,1,,,,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,6,0,0,6,0,0,0,0,1,15,4,0,0,0,1,0,2,0,1,0,0,0,5,0,0
North Central,VLclxVcJh5v,Mubende District,Eastern Division,Mubende Regional Referral Hospital,MoH_G2G_RRH Strategy,,evTYOUjbfLF,VLclxVcJh5v,Mubende District,Eastern Division,Mubende Regional Referral Hospital,MoH_G2G_RRH Strategy,87032,CDC,Oct-Dec 2024,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
South Central,vM7d3ZWWl42,Kalangala District,Mazinga Subcounty,Mazinga HC III,IDI_Masaka Wakiso Region,,lC4n4QoX7h0,vM7d3ZWWl42,Kalangala District,Mazinga Subcounty,Mazinga HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,82,33,49,1,1,10,3,7,8,7,8,4,12,2,10,2,4,,3,82,0,4,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,10,2,7,8,6,8,4,12,2,9,2,3,0,3,50,0,0,50,0,0,10,6,12,266,81,0,0,0,33,20,26,0,156,0,1,0,0,9,0
Ankole,VNnrhdnpSHA,Mitooma District,Mitooma Town Council,Mitooma HC IV,TASO_Ankole Acholi Region,,Y3xz4duqbSX,VNnrhdnpSHA,Mitooma District,Mitooma Town Council,Mitooma HC IV,TASO_Ankole Acholi Region,81998,USAID,Oct-Dec 2024,,,146,105,41,27,4,48,10,21,17,5,8,2,1,,,,,2,1,146,0,45,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,16,4,10,3,0,1,2,0,0,0,0,0,1,0,20,3,32,6,11,14,5,7,0,1,0,0,0,0,1,1,105,1,0,104,0,0,0,0,76,74,146,0,0,0,0,0,0,0,1,0,2,23,0,7,0
North Central,VSGCAKuW01y,Mukono District,Nagojje Subcounty,Naggojje HC III,WALTER REED_MUWRP,,L84feBuTtzE,VSGCAKuW01y,Mukono District,Nagojje Subcounty,Naggojje HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,18,13,5,1,,3,,3,1,1,1,1,2,2,,1,,1,1,18,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,3,0,3,1,1,1,0,0,2,0,1,0,1,1,45,0,0,45,0,0,0,0,25,35,18,0,0,0,0,2,1,0,0,0,4,0,0,8,0
